Method,Seed,bin,left,right,count,mean_confidence,accuracy,weight
no_ood_reconstruction,22,12,0.7333333333333333,0.8,943,0.7683756351470947,0.9501590668080594,0.008012915834643327
no_ood_reconstruction,22,13,0.8,0.8666666666666667,1643,0.84050452709198,0.967741935483871,0.013960997578281004
no_ood_reconstruction,22,14,0.8666666666666667,0.9333333333333333,3140,0.8896459341049194,0.9843949044585987,0.026681395250031863
no_ood_reconstruction,22,15,0.9333333333333333,1.0,44926,0.9844420552253723,0.9999554823487513,0.3817478863066661
no_rarity_conditioning,11,1,0.0,0.06666666666666667,1,0.0587662048637867,0.0,8.49725963376811e-06
no_rarity_conditioning,11,2,0.06666666666666667,0.13333333333333333,108,0.12354971468448639,0.05555555555555555,0.0009177040404469559
no_rarity_conditioning,11,3,0.13333333333333333,0.2,853,0.16742005944252014,0.09495896834701055,0.007248162467604197
no_rarity_conditioning,11,4,0.2,0.26666666666666666,509,0.2295098751783371,0.22986247544204322,0.004325105153587968
no_rarity_conditioning,11,5,0.26666666666666666,0.3333333333333333,467,0.3000088334083557,0.43683083511777304,0.003968220248969707
no_rarity_conditioning,11,6,0.3333333333333333,0.4,623,0.37045755982398987,0.5280898876404494,0.005293792751837533
no_rarity_conditioning,11,7,0.4,0.4666666666666667,2410,0.4414255619049072,0.5755186721991701,0.020478395717381144
no_rarity_conditioning,11,8,0.4666666666666667,0.5333333333333333,18767,0.4911569654941559,0.6273778440880269,0.1594680715469261
no_rarity_conditioning,11,9,0.5333333333333333,0.6,20916,0.5820042490959167,0.7243736852170587,0.1777286824998938
no_rarity_conditioning,11,10,0.6,0.6666666666666666,16295,0.6118980646133423,0.7653267873580853,0.13846284573225134
no_rarity_conditioning,11,11,0.6666666666666666,0.7333333333333333,3096,0.7009329199790955,0.8804909560723514,0.02630751582614607
no_rarity_conditioning,11,12,0.7333333333333333,0.8,4107,0.7705153226852417,0.961772583394205,0.034898245315885625
no_rarity_conditioning,11,13,0.8,0.8666666666666667,2945,0.8273295760154724,0.9938879456706282,0.025024429621447082
no_rarity_conditioning,11,14,0.8666666666666667,0.9333333333333333,1701,0.9057621955871582,0.9929453262786596,0.014453838637039555
no_rarity_conditioning,11,15,0.9333333333333333,1.0,44887,0.9925064444541931,0.9999554436696594,0.38141649318094917
no_rarity_conditioning,22,1,0.0,0.06666666666666667,0,,,0.0
no_rarity_conditioning,22,2,0.06666666666666667,0.13333333333333333,91,0.12442488223314285,0.03296703296703297,0.000773250626672898
no_rarity_conditioning,22,3,0.13333333333333333,0.2,735,0.16865704953670502,0.1306122448979592,0.006245485830819561
no_rarity_conditioning,22,4,0.2,0.26666666666666666,478,0.23037242889404297,0.32426778242677823,0.004061690104941156
no_rarity_conditioning,22,5,0.26666666666666666,0.3333333333333333,384,0.299500435590744,0.4348958333333333,0.003262947699366954
no_rarity_conditioning,22,6,0.3333333333333333,0.4,533,0.3685186207294464,0.6097560975609756,0.004529039384798403
